Category,Topic,i5 eDrive40 M Sport (Inspiring),i5 eDrive40 M Sport,i5 M60 xDrive
Paintwork & Upholstery,Frozen Pure Grey Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Tanzanite Blue Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Brooklyn Grey Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Fire Red Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Cape York Green Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Phytonic Blue Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown",-
Paintwork & Upholstery,Black Sapphire Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Mineral White Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Notes,"¹ Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",-,-,-
Notes,"* The privilege of purchasing package up to 6 years unlimited mileage warranty and 6 years unlimited mileage of maintenance and 8 years high-voltage battery and its units warranty or 160,000 km. (whichever comes first). Service Interval are due every 24 months.",-,-,-
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",-,-,-
Notes,"Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",-,-,-
Notes,"The privilege of purchasing package up to 6 years unlimited mileage warranty and 6 years unlimited mileage of maintenance and 8 years high-voltage battery and its units warranty or 160,000 km. (whichever comes first). Service Interval are due every 24 months.",-,-,-
Document References,Publication Date,19 October 2023,19 October 2023,19 October 2023
Document References,Package Code (Local Pack),(Z6A),"((ZIS, Z4E))","((ZIR, Z4D))"
Line / Package,M Sport package,■,■,-
Line / Package,M Sport Package Pro,-,-,■
