Category,Topic,M2,M2 (M Racetrack),M2 (MT)
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■,■,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■,■,■
ความปลอดภัย,ระบบ Teleservices,■,■,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■,■,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■,■,■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■,■,■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■,■,■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■,■,■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■,■,■
ความปลอดภัย,เซนเซอร์ควบคุมระยะการจอดด้านหน้าและหลัง,■,■,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■,■,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■,■,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■,■,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■,■,■
ความปลอดภัย,ระบบเตือนการชนด้านหน้าพร้อมระบบช่วยเบรก,■,■,■
ความปลอดภัย,ระบบเตือนคนเดินเท้าพร้อมระบบเบรกอัตโนมัติในเมือง,■,■,■
ความปลอดภัย,ระบบเตือนออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■,■,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลน,■,■,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■,■,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■,■,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติพร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■,■,-
ชุดตกแต่งพิเศษ,แพ็กเกจ M Driver's,-,■,-
Paintwork / สีตัวถังและวัสดุภายใน,Zandvoort Blue Solid,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork / สีตัวถังและวัสดุภายใน,Alpine White Solid,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork / สีตัวถังและวัสดุภายใน,Sao Paulo Yellow Solid,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork / สีตัวถังและวัสดุภายใน,Fire Red Metallic,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork / สีตัวถังและวัสดุภายใน,Skyscraper Grey Metallic,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork / สีตัวถังและวัสดุภายใน,Portimao Blue Metallic,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,25 กันยายน 2568,25 กันยายน 2568,25 กันยายน 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z7O, Z7Q, Z9G, Z9M, ZLT)","(Z7R, Z9L)",(Z8U)
